ayet_url,arabic_ayet
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/8/1-ayet-tefsiri,"الٓمٓۚ
                                                    ﴿١﴾"
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/9/2-ayet-tefsiri,"ذٰلِكَ الْكِتَابُ لَا رَيْبَۚۛ فٖيهِۚۛ هُدًى لِلْمُتَّقٖينَۙ
                                                    ﴿٢﴾"
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/10/3-ayet-tefsiri,"اَلَّذٖينَ يُؤْمِنُونَ بِالْغَيْبِ وَيُقٖيمُونَ الصَّلٰوةَ وَمِمَّا رَزَقْنَاهُمْ يُنْفِقُونَۙ
                                                    ﴿٣﴾"
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/11/4-ayet-tefsiri,"وَالَّذٖينَ يُؤْمِنُونَ بِمَٓا اُنْزِلَ اِلَيْكَ وَمَٓا اُنْزِلَ مِنْ قَبْلِكَۚ وَبِالْاٰخِرَةِ هُمْ يُوقِنُونَؕ
                                                    ﴿٤﴾"
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/12/5-ayet-tefsiri,"اُو۬لٰٓئِكَ عَلٰى هُدًى مِنْ رَبِّهِمْ وَاُو۬لٰٓئِكَ هُمُ الْمُفْلِحُونَ
                                                    ﴿٥﴾"
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/13/6-ayet-tefsiri,"اِنَّ الَّذٖينَ كَفَرُوا سَوَٓاءٌ عَلَيْهِمْ ءَاَنْذَرْتَهُمْ اَمْ لَمْ تُنْذِرْهُمْ لَا يُؤْمِنُونَ
                                                    ﴿٦﴾"
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/14/7-ayet-tefsiri,"خَتَمَ اللّٰهُ عَلٰى قُلُوبِهِمْ وَعَلٰى سَمْعِهِمْؕ وَعَلٰٓى اَبْصَارِهِمْ غِشَاوَةٌؗ وَلَهُمْ عَذَابٌ عَظٖيمٌࣖ
                                                    ﴿٧﴾"
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/15/8-ayet-tefsiri,"وَمِنَ النَّاسِ مَنْ يَقُولُ اٰمَنَّا بِاللّٰهِ وَبِالْيَوْمِ الْاٰخِرِ وَمَا هُمْ بِمُؤْمِنٖينَۘ
                                                    ﴿٨﴾"
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/16/9-ayet-tefsiri,"يُخَادِعُونَ اللّٰهَ وَالَّذٖينَ اٰمَنُواۚ وَمَا يَخْدَعُونَ اِلَّٓا اَنْفُسَهُمْ وَمَا يَشْعُرُونَؕ
                                                    ﴿٩﴾"
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/17/10-ayet-tefsiri,"فٖي قُلُوبِهِمْ مَرَضٌۙ فَزَادَهُمُ اللّٰهُ مَرَضاًۚ وَلَهُمْ عَذَابٌ اَلٖيمٌۙ بِمَا كَانُوا يَكْذِبُونَ
                                                    ﴿١٠﴾"
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/18/11-ayet-tefsiri,"وَاِذَا قٖيلَ لَهُمْ لَا تُفْسِدُوا فِي الْاَرْضِۙ قَالُٓوا اِنَّمَا نَحْنُ مُصْلِحُونَ
                                                    ﴿١١﴾"
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/19/12-ayet-tefsiri,"اَلَٓا اِنَّهُمْ هُمُ الْمُفْسِدُونَ وَلٰكِنْ لَا يَشْعُرُونَ
                                                    ﴿١٢﴾"
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/20/13-ayet-tefsiri,"وَاِذَا قٖيلَ لَهُمْ اٰمِنُوا كَمَٓا اٰمَنَ النَّاسُ قَالُٓوا اَنُؤْمِنُ كَمَٓا اٰمَنَ السُّفَـهَٓاءُؕ اَلَٓا اِنَّهُمْ هُمُ السُّفَـهَٓاءُ وَلٰكِنْ لَا يَعْلَمُونَ
                                                    ﴿١٣﴾"
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/21/14-16-ayet-tefsiri,"وَاِذَا لَقُوا الَّذٖينَ اٰمَنُوا قَالُٓوا اٰمَنَّاۚ وَاِذَا خَلَوْا اِلٰى شَيَاطٖينِهِمْۙ قَالُٓوا اِنَّا مَعَكُمْۙ اِنَّمَا نَحْنُ مُسْتَهْزِؤُ۫نَ
                                                    ﴿١٤﴾"
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/21/14-16-ayet-tefsiri,"اَللّٰهُ يَسْتَهْزِئُ بِهِمْ وَيَمُدُّهُمْ فٖي طُغْيَانِهِمْ يَعْمَهُونَ
                                                    ﴿١٥﴾"
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/21/14-16-ayet-tefsiri,"اُو۬لٰٓئِكَ الَّذٖينَ اشْتَرَوُا الضَّلَالَةَ بِالْهُدٰىࣕ فَمَا رَبِحَتْ تِجَارَتُهُمْ وَمَا كَانُوا مُهْتَدٖينَ
                                                    ﴿١٦﴾"
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/24/17-20-ayet-tefsiri,"مَثَلُهُمْ كَمَثَلِ الَّذِي اسْتَوْقَدَ نَاراًۚ فَلَمَّٓا اَضَٓاءَتْ مَا حَوْلَهُ ذَهَبَ اللّٰهُ بِنُورِهِمْ وَتَرَكَهُمْ فٖي ظُلُمَاتٍ لَا يُبْصِرُونَ
                                                    ﴿١٧﴾"
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/24/17-20-ayet-tefsiri,"صُمٌّ بُكْمٌ عُمْيٌ فَهُمْ لَا يَرْجِعُونَۙ
                                                    ﴿١٨﴾"
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/24/17-20-ayet-tefsiri,"اَوْ كَصَيِّبٍ مِنَ السَّمَٓاءِ فٖيهِ ظُلُمَاتٌ وَرَعْدٌ وَبَرْقٌۚ يَجْعَلُونَ اَصَابِعَهُمْ فٖٓي اٰذَانِهِمْ مِنَ الصَّوَاعِقِ حَذَرَ الْمَوْتِؕ وَاللّٰهُ مُحٖيطٌ بِالْكَافِرٖينَ
                                                    ﴿١٩﴾"
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/24/17-20-ayet-tefsiri,"يَكَادُ الْبَرْقُ يَخْطَفُ اَبْصَارَهُمْؕ كُلَّمَٓا اَضَٓاءَ لَهُمْ مَشَوْا فٖيهِۙ وَاِذَٓا اَظْلَمَ عَلَيْهِمْ قَامُواؕ وَلَوْ شَٓاءَ اللّٰهُ لَذَهَبَ بِسَمْعِهِمْ وَاَبْصَارِهِمْؕ اِنَّ اللّٰهَ عَلٰى كُلِّ شَيْءٍ قَدٖيرٌࣖ
                                                    ﴿٢٠﴾"
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/28/21-ayet-tefsiri,"يَٓا اَيُّهَا النَّاسُ اعْبُدُوا رَبَّكُمُ الَّذٖي خَلَقَكُمْ وَالَّذٖينَ مِنْ قَبْلِكُمْ لَعَلَّكُمْ تَتَّقُونَۙ
                                                    ﴿٢١﴾"
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/29/22-ayet-tefsiri,"اَلَّذٖي جَعَلَ لَكُمُ الْاَرْضَ فِرَاشاً وَالسَّمَٓاءَ بِنَٓاءًࣕ وَاَنْزَلَ مِنَ السَّمَٓاءِ مَٓاءً فَاَخْرَجَ بِهٖ مِنَ الثَّمَرَاتِ رِزْقاً لَكُمْۚ فَلَا تَجْعَلُوا لِلّٰهِ اَنْدَاداً وَاَنْتُمْ تَعْلَمُونَ
                                                    ﴿٢٢﴾"
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/30/23-ayet-tefsiri,"وَاِنْ كُنْتُمْ فٖي رَيْبٍ مِمَّا نَزَّلْنَا عَلٰى عَبْدِنَا فَأْتُوا بِسُورَةٍ مِنْ مِثْلِهٖࣕ وَادْعُوا شُهَدَٓاءَكُمْ مِنْ دُونِ اللّٰهِ اِنْ كُنْتُمْ صَادِقٖينَ
                                                    ﴿٢٣﴾"
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/31/24-ayet-tefsiri,"فَاِنْ لَمْ تَفْعَلُوا وَلَنْ تَفْعَلُوا فَاتَّقُوا النَّارَ الَّتٖي وَقُودُهَا النَّاسُ وَالْحِجَارَةُۚ اُعِدَّتْ لِلْكَافِرٖينَ
                                                    ﴿٢٤﴾"
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/32/25-ayet-tefsiri,"وَبَشِّرِ الَّذٖينَ اٰمَنُوا وَعَمِلُوا الصَّالِحَاتِ اَنَّ لَهُمْ جَنَّاتٍ تَجْرٖي مِنْ تَحْتِهَا الْاَنْهَارُؕ كُلَّمَا رُزِقُوا مِنْهَا مِنْ ثَمَرَةٍ رِزْقاًۙ قَالُوا هٰذَا الَّذٖي رُزِقْنَا مِنْ قَبْلُ وَاُتُوا بِهٖ مُتَشَابِهاًؕ وَلَهُمْ فٖيهَٓا اَزْوَاجٌ مُطَهَّرَةٌ وَهُمْ فٖيهَا خَالِدُونَ
                                                    ﴿٢٥﴾"
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/33/26-ayet-tefsiri,"اِنَّ اللّٰهَ لَا يَسْتَحْـيٖٓ اَنْ يَضْرِبَ مَثَلاً مَا بَعُوضَةً فَمَا فَوْقَهَاؕ فَاَمَّا الَّذٖينَ اٰمَنُوا فَيَعْلَمُونَ اَنَّهُ الْحَقُّ مِنْ رَبِّهِمْۚ وَاَمَّا الَّذٖينَ كَفَرُوا فَيَقُولُونَ مَاذَٓا اَرَادَ اللّٰهُ بِهٰذَا مَثَلاًۘ يُضِلُّ بِهٖ كَثٖيراً وَيَهْدٖي بِهٖ كَثٖيراًؕ وَمَا يُضِلُّ بِهٖٓ اِلَّا الْفَاسِقٖينَۙ
                                                    ﴿٢٦﴾"
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/34/27-ayet-tefsiri,"اَلَّذٖينَ يَنْقُضُونَ عَهْدَ اللّٰهِ مِنْ بَعْدِ مٖيثَاقِهٖࣕ وَيَقْطَعُونَ مَٓا اَمَرَ اللّٰهُ بِهٖٓ اَنْ يُوصَلَ وَيُفْسِدُونَ فِي الْاَرْضِؕ اُو۬لٰٓئِكَ هُمُ الْخَاسِرُونَ
                                                    ﴿٢٧﴾"
