ayet_url,ayet,meal
https://kuran.diyanet.gov.tr/tefsir/F%C3%A2tiha-suresi/1/1-ayet-tefsiri,"بِسْمِ اللّٰهِ الرَّحْمٰنِ الرَّحٖيمِ
                                                    ﴿١﴾","﴾1﴿

Rahmân ve rahîm olan Allah’ın adıyla..."
https://kuran.diyanet.gov.tr/tefsir/F%C3%A2tiha-suresi/2/2-ayet-tefsiri,"اَلْحَمْدُ لِلّٰهِ رَبِّ الْـعَالَمٖينَۙ
                                                    ﴿٢﴾","﴾2﴿

Hamd, âlemlerin Rabbi olan Allah’a mahsustur."
https://kuran.diyanet.gov.tr/tefsir/F%C3%A2tiha-suresi/3/3-ayet-tefsiri,"اَلرَّحْمٰنِ الرَّحٖيمِۙ
                                                    ﴿٣﴾","﴾3﴿

Rahmân ve rahîm."
https://kuran.diyanet.gov.tr/tefsir/F%C3%A2tiha-suresi/4/4-ayet-tefsiri,"مَالِكِ يَوْمِ الدّٖينِؕ
                                                    ﴿٤﴾","﴾4﴿

Ödül ve ceza gününün tek hâkimi."
https://kuran.diyanet.gov.tr/tefsir/F%C3%A2tiha-suresi/5/5-ayet-tefsiri,"اِيَّاكَ نَعْبُدُ وَاِيَّاكَ نَسْتَعٖينُؕ
                                                    ﴿٥﴾","﴾5﴿

(Rabbimiz!) Ancak sana kulluk eder ve yalnız senden yardım dileriz."
https://kuran.diyanet.gov.tr/tefsir/F%C3%A2tiha-suresi/6/6-ayet-tefsiri,"اِهْدِنَا الصِّرَاطَ الْمُسْتَقٖيمَۙ
                                                    ﴿٦﴾","﴾6﴿

Bizi dosdoğru yola ilet;"
https://kuran.diyanet.gov.tr/tefsir/F%C3%A2tiha-suresi/7/7-ayet-tefsiri,"صِرَاطَ الَّذٖينَ اَنْعَمْتَ عَلَيْهِمْۙ غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ وَلَا الضَّٓالّٖينَ
                                                    ﴿٧﴾","﴾7﴿

Nimetine erdirdiklerinin yoluna; gazaba uğramışların yoluna da, dalâlete sapmışların yoluna da değil! Âmin!"
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/8/1-ayet-tefsiri,"الٓمٓۚ
                                                    ﴿١﴾","﴾1﴿

Elif-lâm-mîm."
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/9/2-ayet-tefsiri,"ذٰلِكَ الْكِتَابُ لَا رَيْبَۚۛ فٖيهِۚۛ هُدًى لِلْمُتَّقٖينَۙ
                                                    ﴿٢﴾","﴾2﴿

İşte kitap; onda asla şüphe yoktur. O, günahtan sakınanlar için bir rehberdir."
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/10/3-ayet-tefsiri,"اَلَّذٖينَ يُؤْمِنُونَ بِالْغَيْبِ وَيُقٖيمُونَ الصَّلٰوةَ وَمِمَّا رَزَقْنَاهُمْ يُنْفِقُونَۙ
                                                    ﴿٣﴾","﴾3﴿

(Onlar) gayba iman ederler, namazı kılarlar, kendilerine verdiklerimizden hayra harcarlar;"
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/11/4-ayet-tefsiri,"وَالَّذٖينَ يُؤْمِنُونَ بِمَٓا اُنْزِلَ اِلَيْكَ وَمَٓا اُنْزِلَ مِنْ قَبْلِكَۚ وَبِالْاٰخِرَةِ هُمْ يُوقِنُونَؕ
                                                    ﴿٤﴾","﴾4﴿

Sana indirilene ve senden önce indirilene iman ederler ve âhirete de onlar kesin olarak inanırlar."
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/12/5-ayet-tefsiri,"اُو۬لٰٓئِكَ عَلٰى هُدًى مِنْ رَبِّهِمْ وَاُو۬لٰٓئِكَ هُمُ الْمُفْلِحُونَ
                                                    ﴿٥﴾","﴾5﴿

Rableri tarafından gösterilen doğru yol üzerinde olanlar ancak onlardır ve kurtuluşa erenler de yalnızca onlardır."
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/13/6-ayet-tefsiri,"اِنَّ الَّذٖينَ كَفَرُوا سَوَٓاءٌ عَلَيْهِمْ ءَاَنْذَرْتَهُمْ اَمْ لَمْ تُنْذِرْهُمْ لَا يُؤْمِنُونَ
                                                    ﴿٦﴾","﴾6﴿

İnkâr edenleri uyarsan da uyarmasan da onlar için birdir, asla iman etmezler."
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/14/7-ayet-tefsiri,"خَتَمَ اللّٰهُ عَلٰى قُلُوبِهِمْ وَعَلٰى سَمْعِهِمْؕ وَعَلٰٓى اَبْصَارِهِمْ غِشَاوَةٌؗ وَلَهُمْ عَذَابٌ عَظٖيمٌࣖ
                                                    ﴿٧﴾","﴾7﴿

Allah onların kalplerini ve kulaklarını mühürlemiştir, gözlerinde de kalın bir perde bulunmaktadır ve onlar için büyük bir azap vardır."
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/15/8-ayet-tefsiri,"وَمِنَ النَّاسِ مَنْ يَقُولُ اٰمَنَّا بِاللّٰهِ وَبِالْيَوْمِ الْاٰخِرِ وَمَا هُمْ بِمُؤْمِنٖينَۘ
                                                    ﴿٨﴾","﴾8﴿

İnsanlardan bazıları da vardır ki inanmadıkları halde “Allah’a ve âhiret gününe inandık” derler."
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/16/9-ayet-tefsiri,"يُخَادِعُونَ اللّٰهَ وَالَّذٖينَ اٰمَنُواۚ وَمَا يَخْدَعُونَ اِلَّٓا اَنْفُسَهُمْ وَمَا يَشْعُرُونَؕ
                                                    ﴿٩﴾","﴾9﴿

Akıllarınca Allah’ı ve iman edenleri aldatmaya kalkışıyorlar; hâlbuki onlar farkında olmadan yalnızca kendilerini aldatmış oluyorlar."
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/17/10-ayet-tefsiri,"فٖي قُلُوبِهِمْ مَرَضٌۙ فَزَادَهُمُ اللّٰهُ مَرَضاًۚ وَلَهُمْ عَذَابٌ اَلٖيمٌۙ بِمَا كَانُوا يَكْذِبُونَ
                                                    ﴿١٠﴾","﴾10﴿

Kalplerinde bir bozukluk vardır, Allah da onlardaki bozukluğu arttırmıştır. Yalan söylemeleri yüzünden, kendilerine acı veren bir azap da vardır."
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/18/11-ayet-tefsiri,"وَاِذَا قٖيلَ لَهُمْ لَا تُفْسِدُوا فِي الْاَرْضِۙ قَالُٓوا اِنَّمَا نَحْنُ مُصْلِحُونَ
                                                    ﴿١١﴾","﴾11﴿

Onlara “Yeryüzünde düzeni bozmayın” denildiğinde, “Hayır, biz yalnızca ıslah edenleriz” derler."
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/19/12-ayet-tefsiri,"اَلَٓا اِنَّهُمْ هُمُ الْمُفْسِدُونَ وَلٰكِنْ لَا يَشْعُرُونَ
                                                    ﴿١٢﴾","﴾12﴿

Biline ki, gerçekten bozanlar onların ta kendileridir, ama farkında olmuyorlar."
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/20/13-ayet-tefsiri,"وَاِذَا قٖيلَ لَهُمْ اٰمِنُوا كَمَٓا اٰمَنَ النَّاسُ قَالُٓوا اَنُؤْمِنُ كَمَٓا اٰمَنَ السُّفَـهَٓاءُؕ اَلَٓا اِنَّهُمْ هُمُ السُّفَـهَٓاءُ وَلٰكِنْ لَا يَعْلَمُونَ
                                                    ﴿١٣﴾","﴾13﴿

Onlara “Diğer insanlar gibi siz de iman edin” denildiğinde, “Akılsızların inandıkları gibi biz de inanalım mı?” derler. Biline ki, asıl akılsızlar onlardır, fakat bilmezler."
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/21/14-16-ayet-tefsiri,"وَاِذَا لَقُوا الَّذٖينَ اٰمَنُوا قَالُٓوا اٰمَنَّاۚ وَاِذَا خَلَوْا اِلٰى شَيَاطٖينِهِمْۙ قَالُٓوا اِنَّا مَعَكُمْۙ اِنَّمَا نَحْنُ مُسْتَهْزِؤُ۫نَ
                                                    ﴿١٤﴾


                                                    اَللّٰهُ يَسْتَهْزِئُ بِهِمْ وَيَمُدُّهُمْ فٖي طُغْيَانِهِمْ يَعْمَهُونَ
                                                    ﴿١٥﴾


                                                    اُو۬لٰٓئِكَ الَّذٖينَ اشْتَرَوُا الضَّلَالَةَ بِالْهُدٰىࣕ فَمَا رَبِحَتْ تِجَارَتُهُمْ وَمَا كَانُوا مُهْتَدٖينَ
                                                    ﴿١٦﴾","﴾14﴿

İman edenlerle karşılaşınca “inandık” derler, şeytanlarıyla baş başa kaldıklarında ise “Biz sizinleyiz, biz yalnızca alay etmekteyiz” derler.                                        
 ﴾15﴿

Asıl onlarla alay eden ve azıp saparak dolaşmalarına izin veren Allah’tır.                                        
 ﴾16﴿

Doğruya karşılık sapkınlığı satın alanlar işte onlardır. Bu sebeple ticaretleri kâr etmemiş ve doğru yolu da bulamamışlardır."
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/24/17-20-ayet-tefsiri,"مَثَلُهُمْ كَمَثَلِ الَّذِي اسْتَوْقَدَ نَاراًۚ فَلَمَّٓا اَضَٓاءَتْ مَا حَوْلَهُ ذَهَبَ اللّٰهُ بِنُورِهِمْ وَتَرَكَهُمْ فٖي ظُلُمَاتٍ لَا يُبْصِرُونَ
                                                    ﴿١٧﴾


                                                    صُمٌّ بُكْمٌ عُمْيٌ فَهُمْ لَا يَرْجِعُونَۙ
                                                    ﴿١٨﴾


                                                    اَوْ كَصَيِّبٍ مِنَ السَّمَٓاءِ فٖيهِ ظُلُمَاتٌ وَرَعْدٌ وَبَرْقٌۚ يَجْعَلُونَ اَصَابِعَهُمْ فٖٓي اٰذَانِهِمْ مِنَ الصَّوَاعِقِ حَذَرَ الْمَوْتِؕ وَاللّٰهُ مُحٖيطٌ بِالْكَافِرٖينَ
                                                    ﴿١٩﴾


                                                    يَكَادُ الْبَرْقُ يَخْطَفُ اَبْصَارَهُمْؕ كُلَّمَٓا اَضَٓاءَ لَهُمْ مَشَوْا فٖيهِۙ وَاِذَٓا اَظْلَمَ عَلَيْهِمْ قَامُواؕ وَلَوْ شَٓاءَ اللّٰهُ لَذَهَبَ بِسَمْعِهِمْ وَاَبْصَارِهِمْؕ اِنَّ اللّٰهَ عَلٰى كُلِّ شَيْءٍ قَدٖيرٌࣖ
                                                    ﴿٢٠﴾","﴾17﴿

Onların misali, bir ateş yakan insan gibidir. Ateş tam etrafını aydınlattığında Allah ışıklarını yok eder de onları karanlıklar içinde, hiçbir şeyi görmez bir halde bırakıverir.                                        
 ﴾18﴿

Artık onlar sağırlardır, dilsizlerdir ve körlerdir; bu yüzden geri de dönemezler.                                        
 ﴾19﴿

Yahut onlar, karanlıklar içinde gökten boşanan gök gürültülü, şimşekli bir yağmura tutulmuş kimseler gibidirler. Yıldırımlar yüzünden ölümden korkarak parmaklarıyla kulaklarını tıkarlar. Hâlbuki Allah inkârcıları çepeçevre kuşatmıştır.                                        
 ﴾20﴿

Şimşek gözlerini kör edercesine çakar, onların çevresini aydınlatınca orada yürürler, karartınca da kalakalırlar. Allah dileseydi onların işitme ve görmelerini büsbütün giderirdi. Şüphesiz Allah her şeye kādirdir."
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/28/21-ayet-tefsiri,"يَٓا اَيُّهَا النَّاسُ اعْبُدُوا رَبَّكُمُ الَّذٖي خَلَقَكُمْ وَالَّذٖينَ مِنْ قَبْلِكُمْ لَعَلَّكُمْ تَتَّقُونَۙ
                                                    ﴿٢١﴾","﴾21﴿

Ey insanlar! Sizi ve sizden öncekileri yaratan rabbinize kulluk edin ki takvâya eresiniz."
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/29/22-ayet-tefsiri,"اَلَّذٖي جَعَلَ لَكُمُ الْاَرْضَ فِرَاشاً وَالسَّمَٓاءَ بِنَٓاءًࣕ وَاَنْزَلَ مِنَ السَّمَٓاءِ مَٓاءً فَاَخْرَجَ بِهٖ مِنَ الثَّمَرَاتِ رِزْقاً لَكُمْۚ فَلَا تَجْعَلُوا لِلّٰهِ اَنْدَاداً وَاَنْتُمْ تَعْلَمُونَ
                                                    ﴿٢٢﴾","﴾22﴿

Rabbiniz ki, sizin için yeri döşek, göğü bina kılmıştır; gökten su indirmiş, bununla sizin için rızık olarak çeşitli ürünler çıkarmıştır; artık siz de bile bile O’na eş ve ortaklar koşmayın."
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/30/23-ayet-tefsiri,"وَاِنْ كُنْتُمْ فٖي رَيْبٍ مِمَّا نَزَّلْنَا عَلٰى عَبْدِنَا فَأْتُوا بِسُورَةٍ مِنْ مِثْلِهٖࣕ وَادْعُوا شُهَدَٓاءَكُمْ مِنْ دُونِ اللّٰهِ اِنْ كُنْتُمْ صَادِقٖينَ
                                                    ﴿٢٣﴾","﴾23﴿

Kulumuza indirdiğimiz kitaptan dolayı bir şüphe içinde iseniz onun benzeri bir sûre de siz getirin, Allah’tan başka taptıklarınızı da yardıma çağırın; eğer iddianızda samimi iseniz!"
https://kuran.diyanet.gov.tr/tefsir/Bakara-suresi/31/24-ayet-tefsiri,"فَاِنْ لَمْ تَفْعَلُوا وَلَنْ تَفْعَلُوا فَاتَّقُوا النَّارَ الَّتٖي وَقُودُهَا النَّاسُ وَالْحِجَارَةُۚ اُعِدَّتْ لِلْكَافِرٖينَ
                                                    ﴿٢٤﴾","﴾24﴿

Bunu yapamazsanız -ki asla yapamayacaksınız- yakıtı insanlar ve taşlar olan ateşten sakının; o, inkârcılar için hazırlanmıştır."
